text,questionText,questionType,label,answerMs
なんやかんや日本が一番,旅で得た学びはありますか？,paragraph,genuine_high,11589
美容院,毎月必ず使うお金の使い道は？,paragraph,genuine_mid,14443
夜型です．日中は課題をやる気が起きない,朝型ですか夜型ですか？その理由も教えてください。,paragraph,genuine_high,23621
lineの返信が早いので事務連絡などを積極的に行っています,自分の強みを仕事にどう活かしていますか？,paragraph,genuine_high,58873
瀬戸内,もう一度行きたい場所はどこですか？,paragraph,genuine_mid,11589
spotify,使ってよかったアプリはありますか？,paragraph,genuine_mid,29489
そこでしか買えなさそうなもの,旅先で買うお土産はどう選びますか？,paragraph,genuine_high,19743
します．パワフルプロ野球,ゲームはしますか？好きなタイトルは？,paragraph,genuine_high,14321
2,最近の気分はどうですか？,scale,,3927
5,普段どのくらい忙しいですか？,scale,,1971
トラックボールマウス,趣味に使う道具でこだわっているものは？,paragraph,,43667
いいえ,おやつや間食はしますか？,paragraph,genuine_mid,3205
google検索を使います,調べ物はネット検索とAI、どちらを使いますか？,paragraph,genuine_high,29528
料理はほとんどしません,料理の失敗談はありますか？,paragraph,low_effort,19763
King Gnu,好きな音楽のジャンルやアーティストは？,paragraph,genuine_mid,48284
1人の時間を作る,人付き合いで疲れたときの対処法は？,paragraph,genuine_high,18324
全て,趣味の時間は週にどのくらいですか？,paragraph,genuine_mid,8128
グループ,グループと一対一、どちらが好きですか？,paragraph,genuine_mid,4615
東京にオフィスがある,働く上で理想の環境はどんなものですか？,paragraph,genuine_high,16984
大雨で電車が止まって帰れなくなった,旅行で失敗した経験はありますか？,paragraph,genuine_high,151875
関わらない,苦手な人とはどう付き合いますか？,paragraph,genuine_mid,187492
作らない,お弁当は作りますか？工夫はありますか？,paragraph,low_effort,8371
法律,もし時間があれば学びたいことは何ですか？,paragraph,genuine_mid,16259
傘,雨の日に必ず持っていく物はありますか？,paragraph,genuine_mid,5812
友達と日本初のP2P型アンケートプラットフォームをバイブコーディングで制作,学生時代の思い出を教えてください。,paragraph,genuine_high,89041
LINE,スマホで一番よく使う機能やアプリは？,paragraph,genuine_mid,4751
塩田,尊敬する人や憧れの人はいますか？理由も教えてください。,paragraph,genuine_mid,4894
寝る,肩こりや疲れ目の対策はありますか？,paragraph,genuine_mid,5052
3,人と話すのは好きですか？,scale,,2988
5,全体的な生活の満足度を教えてください。,scale,,2849
つくりません,お弁当は作りますか？工夫はありますか？,paragraph,low_effort,5219
結構つながっています,昔の友人と今もつながっていますか？,paragraph,genuine_mid,7104
3~6人,友達と何人くらいで集まるのが好きですか？,paragraph,genuine_mid,5977
かつ丼,最後の晩餐に何を食べたいですか？,paragraph,genuine_mid,11193
みかんゼリー,最近ハマった食べ物や飲み物はありますか？,paragraph,genuine_high,11500
lineの返信,朝一番にやる仕事や勉強は何ですか？,paragraph,genuine_mid,24035
あります,人間関係でリセットしたくなることはありますか？,paragraph,genuine_mid,6018
結構しんじちゃう,ネットの口コミをどこまで信じますか？,paragraph,genuine_mid,8063
有言実行,座右の銘や好きな言葉はありますか？,paragraph,genuine_high,123899
準備は大切,最近新しく学んだことは何ですか？,paragraph,genuine_high,45865
とくになし,趣味に使う道具でこだわっているものは？,paragraph,low_effort,7926
30分,朝の準備にかかる時間と、短縮の工夫はありますか？,paragraph,genuine_mid,5486
イレギュラーを楽しむ,旅で得た学びはありますか？,paragraph,genuine_high,28708
得意です,人を褒めるのは得意ですか？,paragraph,genuine_mid,4001
します,ふるさと納税やポイント投資はしますか？,paragraph,genuine_mid,3050
使います．paypay，quickpay,キャッシュレス決済は使いますか？どれを使いますか？,paragraph,genuine_high,10108
アマゾン,ネット通販でよく使うサイトは？,paragraph,genuine_mid,3980
深夜の油そば,「無駄遣いだった」と思う出費はありますか？,paragraph,genuine_high,23367
5,人と話すのは好きですか？,scale,,1623
5,新しい技術への関心は高いですか？,scale,,1738
